labels,values,title,value_heading
"['route', 'point', 'poet', 'car', 'doubt']","[7, 6, 2, 9, 1]",Most preferred objects,Number of People
"['ballet', 'core', 'claim', 'deck', 'size', 'work', 'mile', 'south']","[1000000, 10, 10, 1000000, 1000, 1000000000, 10000, 10000]",Title,Values
"['page', 'soil', 'foil', 'shock', 'fear']","[40, 40, 80, 70, 60]",Title,Values
"['corn', 'copy']","[9, 4]",Sales statistics for different items,Units sold
"['stem', 'figure', 'grip', 'bottom']","[3, 7, 6, 4]",Most preferred objects,Number of People
"['rise', 'care', 'leg', 'tour']","[7, 4, 4, 2]",Accuracy of different algorithms,Accuracy
"['car', 'sample', 'grace', 'paint', 'leg']","[7, 1, 1, 8, 0]",Title,Values
"['humor', 'coast', 'ice']","[1, 3, 3]",Title,Values
"['belt', 'trust', 'law']","[70, 90, 40]",Accuracy of different algorithms,Accuracy
"['coal', 'dust', 'trust', 'vacuum', 'bond', 'reply', 'colony', 'sign']","[8, 6, 5, 4, 4, 1, 4, 2]",Title,Values
"['test', 'style', 'slope', 'grave']","[20, 60, 70, 90]",Title,Values
"['chip', 'pitch', 'fit', 'cover', 'fellow', 'gang', 'round']","[10, 40, 70, 10, 20, 30, 40]",Title,Values
"['mine', 'loss', 'rage', 'fire', 'motel', 'review']","[80, 70, 80, 50, 80, 50]",Most preferred objects,Percent of People
"['inside', 'marine', 'corn', 'stuff', 'reform']","[6, 8, 7, 9, 3]",Accuracy of different algorithms,Accuracy
"['remark', 'idea', 'bottle', 'scale', 'end', 'excess', 'paper', 'gain', 'boy']","[-7, -6, -5, 3, 1, 1, -9, 5, 4]",Title,Values
"['feed', 'answer', 'rear', 'effort', 'form']","[20, 50, 10, 90, 30]",Title,Values
"['limit', 'enemy']","[10, 60]",Most preferred objects,Percent of People
"['temple', 'circle', 'killer', 'letter']","[3, 3, 4, 8]",Title,Values
"['sea', 'item', 'column', 'plot', 'shock']","[2, 4, 9, 7, 8]",Sales statistics for different items,Units sold
"['poem', 'shot', 'error', 'gain', 'switch']","[0, 6, 2, 2, 0]",Title,Values
"['baby', 'prize', 'faith', 'merger', 'verse', 'horse', 'fate']","[-5, 2, 2, 8, -8, 3, 7]",Title,Values
"['piece', 'case', 'dining', 'crew', 'pipe', 'dive']","[3, 9, 7, 2, 6, 1]",Sales statistics for different items,Units sold
"['coal', 'horse', 'award', 'cellar', 'heard', 'spring']","[4, 3, 4, 1, 3, 7]",Title,Values
"['herd', 'status', 'deck']","[80, 20, 30]",Accuracy of different algorithms,Accuracy
"['branch', 'barn']","[1, 8]",Sales statistics for different items,Units sold
"['volume', 'bomb', 'shot']","[7, 2, 7]",Accuracy of different algorithms,Accuracy
"['barrel', 'drop', 'pencil', 'speed', 'garage', 'rhythm', 'deck', 'suite']","[5, 7, 1, 7, 9, 8, 6, 3]",Accuracy of different algorithms,Accuracy
"['rifle', 'relief']","[7, 2]",Sales statistics for different items,Units sold
"['nation', 'plan', 'mercy', 'ratio', 'farm', 'star']","[1, 4, 4, 4, 2, 8]",Most preferred objects,Number of People
"['lunch', 'beam', 'bit', 'test', 'midst', 'plot', 'talk', 'tie', 'dawn']","[4, 7, 2, 8, 8, 2, 9, 2, 8]",Title,Values
"['decade', 'place', 'spot', 'luxury', 'lie', 'search']","[100, 10000000, 10, 10000, 10000000, 10]",Title,Values
"['point', 'tray']","[1, 0]",Title,Values
"['book', 'stone', 'uncle', 'queen']","[7, 4, 4, 1]",Accuracy of different algorithms,Accuracy
"['choice', 'shirt', 'sight', 'bureau', 'member', 'fun']","[5, 6, 5, 2, 8, 9]",Title,Values
"['strip', 'combat', 'brick', 'choice', 'study', 'limit', 'police', 'glory']","[6, 9, 4, 9, 5, 8, 8, 2]",Most preferred objects,Number of People
"['action', 'cellar', 'film']","[5, 7, 7]",Title,Values
"['harbor', 'rail', 'image', 'detail', 'boy', 'bank', 'form']","[20, 80, 30, 50, 10, 90, 80]",Title,Values
"['regime', 'mold', 'cure', 'knife']","[4, 8, 4, 9]",Most preferred objects,Number of People
"['beach', 'matter', 'novel', 'wood']","[60, 10, 90, 20]",Most preferred objects,Percent of People
"['duty', 'deck']","[6, 6]",Most preferred objects,Number of People
"['state', 'edge', 'dog', 'public', 'voice', 'sale']","[8, 8, 7, 8, 1, 4]",Most preferred objects,Number of People
"['edge', 'cream', 'pack', 'sign', 'call']","[7, 2, 4, 3, -2]",Title,Values
"['note', 'blood', 'fruit', 'pistol', 'cross']","[3, 7, 8, 2, 3]",Title,Values
"['trial', 'bundle', 'farmer', 'jar', 'bay', 'radio', 'crop', 'drift']","[100000, 100000, 1000, 100, 1000000000, 100, 1000000000, 10]",Title,Values
"['holder', 'aspect', 'buffer', 'reply', 'claim', 'rule', 'prison', 'trial', 'shore']","[60, 90, 70, 70, 10, 80, 40, 90, 20]",Title,Values
"['ticket', 'golf', 'health']","[90, 10, 30]",Title,Values
"['run', 'panel', 'stay', 'friend', 'start', 'drift', 'league', 'cent']","[1000, 10000, 100000, 1000000, 100, 1000000, 10000, 10]",Title,Values
"['book', 'cost', 'bag', 'hold', 'author', 'glass']","[2, 0, 3, 9, 8, 4]",Title,Values
"['hand', 'faint', 'sake']","[9, 2, 5]",Accuracy of different algorithms,Accuracy
"['mother', 'farmer', 'wall', 'trust', 'range', 'medium', 'killer']","[7, 7, 4, 4, 5, 3, 5]",Accuracy of different algorithms,Accuracy
"['hill', 'heat', 'shop', 'liquid']","[4, 4, 7, 9]",Most preferred objects,Number of People
"['back', 'opera', 'flood', 'defeat']","[20, 60, 60, 10]",Most preferred objects,Percent of People
"['drama', 'regime', 'expert']","[9, 1, 4]",Title,Values
"['string', 'gas', 'client', 'flavor']","[1, 4, 7, 5]",Accuracy of different algorithms,Accuracy
"['motor', 'plant', 'school', 'owner', 'nobody', 'travel']","[8, 3, 7, 6, 4, 9]",Sales statistics for different items,Units sold
"['fence', 'luck', 'suite', 'safety', 'lip', 'patent']","[6, 6, 3, 2, 2, 6]",Sales statistics for different items,Units sold
"['planet', 'hunger', 'block']","[7, 9, 8]",Most preferred objects,Number of People
"['valley', 'museum', 'island', 'motion']","[3, 7, 3, 3]",Most preferred objects,Number of People
"['refund', 'sake', 'rest']","[4, 3, 3]",Title,Values
"['stand', 'drink']","[3, 7]",Title,Values
"['stuff', 'voting', 'savage', 'dancer', 'clock', 'work', 'ground']","[20, 40, 10, 50, 60, 60, 20]",Accuracy of different algorithms,Accuracy
"['mood', 'symbol', 'ship', 'source', 'sphere']","[4, 7, 5, 1, 2]",Sales statistics for different items,Units sold
"['humor', 'extent', 'race', 'taxi']","[20, 40, 40, 90]",Most preferred objects,Percent of People
"['sake', 'cross', 'earth', 'flood']","[2, 8, 7, 2]",Most preferred objects,Number of People
"['proof', 'atom', 'pound']","[8, 6, 3]",Sales statistics for different items,Units sold
"['street', 'noon', 'event', 'chip', 'joy']","[60, 40, 60, 60, 30]",Title,Values
"['guard', 'beach', 'decade']","[6, 2, 1]",Title,Values
"['dive', 'guitar', 'girl', 'lie', 'clock', 'stream', 'twelve']","[1000000, 100, 10000, 10, 100000000, 10000, 1000000]",Title,Values
"['charm', 'sauce', 'bridge', 'panic', 'sitter']","[2, 5, 4, 3, 9]",Title,Values
"['waste', 'league', 'outfit', 'shell', 'space', 'bridge', 'demand', 'actor']","[8, 6, 7, 4, 6, 2, 3, 8]",Sales statistics for different items,Units sold
"['ranch', 'bomb', 'mood', 'novel', 'growth', 'office', 'reach', 'actor']","[5, 9, 8, 3, 2, 7, 5, 5]",Title,Values
"['middle', 'truck']","[1, 1]",Accuracy of different algorithms,Accuracy
"['bench', 'colony', 'blue', 'honey', 'attack']","[4, 7, 7, 1, 2]",Title,Values
"['iodine', 'author', 'bed', 'count', 'value']","[8, 5, 4, 9, 2]",Most preferred objects,Number of People
"['tree', 'bath']","[5, 6]",Sales statistics for different items,Units sold
"['river', 'muscle', 'prayer', 'wave', 'skirt', 'pass', 'lead', 'mirror']","[7, 7, 6, 1, 9, 1, 6, 7]",Sales statistics for different items,Units sold
"['fellow', 'cell', 'leg', 'touch', 'beef']","[2, 7, 9, 1, 4]",Title,Values
"['fog', 'sight', 'cure', 'total', 'forest', 'guilt', 'skill', 'plain', 'reach']","[4, 4, 0, 0, 4, 1, 4, 2, 3]",Title,Values
"['supply', 'harm']","[2, 4]",Accuracy of different algorithms,Accuracy
"['coal', 'plan']","[40, 80]",Accuracy of different algorithms,Accuracy
"['blow', 'rice', 'pure']","[7, 6, 4]",Sales statistics for different items,Units sold
"['gown', 'touch', 'future', 'refund']","[9, 1, 5, 3]",Accuracy of different algorithms,Accuracy
"['art', 'cent', 'wash', 'mail']","[60, 70, 80, 80]",Most preferred objects,Percent of People
"['speech', 'switch', 'cure', 'thing', 'lobby', 'bridge', 'regime']","[6, 7, 2, 4, 4, 9, 7]",Title,Values
"['sphere', 'remark']","[1, 1]",Accuracy of different algorithms,Accuracy
"['ticket', 'bent', 'blood']","[40, 60, 50]",Most preferred objects,Percent of People
"['radar', 'valley']","[8, 1]",Title,Values
"['sake', 'corn', 'radio']","[6, 6, 2]",Accuracy of different algorithms,Accuracy
"['law', 'cut', 'market', 'choice', 'king', 'jet', 'sea']","[3, 5, 9, 7, 6, 8, 5]",Sales statistics for different items,Units sold
"['tail', 'key', 'growth', 'beef', 'pistol']","[2, 9, 5, 9, 9]",Title,Values
"['report', 'south', 'jaw', 'page', 'motel', 'soul', 'size', 'object', 'wisdom']","[6, 5, 7, 4, 9, 5, 3, 1, 4]",Sales statistics for different items,Units sold
"['dinner', 'forest']","[6, 5]",Accuracy of different algorithms,Accuracy
"['mind', 'data', 'check', 'auto', 'dear', 'chorus', 'firm']","[9, 9, 4, 4, 2, 3, 2]",Most preferred objects,Number of People
"['comedy', 'track', 'sight', 'genius', 'boss']","[2, 2, 5, 5, 6]",Title,Values
"['beach', 'deal', 'fish', 'tape', 'place', 'hotel']","[100000000, 10000, 1000000000, 10000, 10000, 10000000]",Title,Values
"['power', 'thing', 'prison', 'boss', 'aspect']","[90, 40, 80, 30, 40]",Accuracy of different algorithms,Accuracy
"['trend', 'degree', 'body']","[2, 9, 1]",Accuracy of different algorithms,Accuracy
"['bread', 'ice']","[7, 2]",Title,Values
"['autumn', 'foot', 'shot', 'theme', 'secret']","[100, 1000000000, 1000000, 1000, 1000000000]",Title,Values
"['dollar', 'latter', 'jail', 'vote']","[3, 6, 5, 6]",Sales statistics for different items,Units sold
"['dark', 'tissue', 'basis', 'dress', 'cellar']","[9, 3, 2, 3, 2]",Title,Values
"['flow', 'bridge', 'access', 'judge']","[6, 1, 8, 1]",Most preferred objects,Number of People
"['tip', 'favor', 'return', 'sort']","[80, 50, 50, 50]",Most preferred objects,Percent of People
"['behalf', 'point', 'plan', 'sleep', 'ride', 'dawn', 'danger', 'twelve', 'entry']","[3, 5, 7, 5, 4, 7, 1, 7, 7]",Sales statistics for different items,Units sold
"['bowl', 'cabin']","[3, 4]",Sales statistics for different items,Units sold
"['chest', 'turn', 'jail', 'fool']","[40, 70, 10, 60]",Accuracy of different algorithms,Accuracy
"['mature', 'finger', 'floor', 'notion', 'lock', 'fence', 'source']","[1, 9, 5, 7, 1, 3, 3]",Most preferred objects,Number of People
"['fault', 'move', 'crime', 'back', 'dream']","[10, 20, 20, 90, 90]",Accuracy of different algorithms,Accuracy
"['trust', 'minute', 'ship']","[4, 7, 1]",Sales statistics for different items,Units sold
"['error', 'scope', 'rice', 'left', 'breath', 'bridge', 'diet', 'list', 'rage']","[10000000, 10000000, 100, 10, 100000, 10000000, 1000000000, 100000, 100000000]",Title,Values
"['bank', 'use', 'summer']","[9, 8, 6]",Title,Values
"['sand', 'search', 'coat', 'steel', 'seat', 'wash', 'hall']","[3, 4, 6, 1, 6, 7, 8]",Accuracy of different algorithms,Accuracy
"['plan', 'oil']","[100000000, 1000]",Title,Values
"['total', 'island', 'ticket']","[2, 9, 7]",Most preferred objects,Number of People
"['face', 'vector', 'iron', 'use', 'habit', 'carbon']","[100000, 100000, 100000, 10, 1000000000, 1000000000]",Title,Values
"['hotel', 'lumber', 'cross', 'crisis', 'pay']","[6, 3, 8, 2, 9]",Title,Values
"['steel', 'walk', 'wall', 'brass', 'bowl', 'vector', 'today', 'prison']","[2, 6, 8, 7, -3, 6, 1, 2]",Title,Values
"['studio', 'mouth', 'curve']","[8, 9, 1]",Title,Values
"['hunger', 'plenty', 'rest']","[4, 1, 9]",Most preferred objects,Number of People
"['view', 'actor', 'bride', 'adult', 'heat']","[5, 7, 6, 8, 9]",Most preferred objects,Number of People
"['total', 'pitch', 'harm', 'clouds']","[2, 4, 8, 6]",Most preferred objects,Number of People
"['south', 'jacket', 'stock', 'season']","[100, 10000, 100000, 100000000]",Title,Values
"['sleep', 'glance']","[2, 7]",Sales statistics for different items,Units sold
"['belt', 'cost', 'season']","[0, 4, 0]",Title,Values
"['door', 'couple', 'system', 'comedy', 'call', 'base']","[8, 5, 1, 4, -2, 5]",Title,Values
"['drop', 'code']","[3, 1]",Most preferred objects,Number of People
"['pound', 'butter', 'family', 'uncle']","[9, 9, 9, 9]",Title,Values
"['course', 'chance', 'faint', 'pack']","[9, 0, 7, 5]",Title,Values
"['drop', 'friend']","[7, 5]",Sales statistics for different items,Units sold
"['wisdom', 'pride']","[60, 40]",Most preferred objects,Percent of People
"['means', 'plot', 'bullet', 'shadow', 'spirit', 'cabin']","[7, 4, 9, 1, 1, 7]",Sales statistics for different items,Units sold
"['guard', 'train', 'poem', 'grain', 'get', 'frame']","[60, 50, 40, 20, 20, 60]",Most preferred objects,Percent of People
"['corps', 'breath', 'paper', 'train', 'planet', 'policy']","[-7, 1, 8, -6, 1, 9]",Title,Values
"['dome', 'force']","[4, 5]",Sales statistics for different items,Units sold
"['mess', 'farmer', 'color', 'coast', 'spite']","[1000000, 100000, 10000, 1000, 10000]",Title,Values
"['wise', 'plug', 'world', 'ward']","[20, 30, 30, 30]",Accuracy of different algorithms,Accuracy
"['river', 'thick', 'nobody', 'review', 'bass']","[80, 20, 60, 50, 20]",Title,Values
"['policy', 'stroke', 'world', 'serum']","[4, 7, 3, 9]",Title,Values
"['inside', 'verse']","[8, 8]",Accuracy of different algorithms,Accuracy
"['step', 'ward', 'charge', 'wire', 'cream', 'escape']","[6, 0, 1, 3, 7, 5]",Title,Values
"['cotton', 'crash', 'escape', 'origin', 'blow', 'myth', 'comedy']","[1, 3, 6, 3, 2, 9, 5]",Title,Values
"['root', 'verse', 'flavor', 'chance', 'storm']","[4, 8, 2, 3, 6]",Sales statistics for different items,Units sold
"['iron', 'earth', 'threat', 'cost', 'dining', 'scale']","[1000, 1000000, 100000000, 100000000, 1000, 10000000]",Title,Values
"['master', 'mark']","[8, 5]",Accuracy of different algorithms,Accuracy
"['affair', 'murder', 'pocket']","[1, 7, 8]",Most preferred objects,Number of People
"['wound', 'hall', 'policy', 'row', 'trap', 'walk']","[8, 2, 1, 7, 7, -2]",Title,Values
"['plate', 'place', 'spread', 'fruit']","[2, 4, 2, 6]",Most preferred objects,Number of People
"['strike', 'hill', 'survey', 'manner', 'nobody', 'trip', 'office']","[9, 3, 1, 4, 3, 6, 6]",Sales statistics for different items,Units sold
"['volume', 'level']","[20, 30]",Most preferred objects,Percent of People
"['wit', 'planet', 'autumn']","[7, 4, -6]",Title,Values
"['site', 'battle', 'seat', 'plot', 'member']","[50, 10, 20, 90, 40]",Most preferred objects,Percent of People
"['drift', 'clock', 'skirt']","[100000000, 100000000, 1000000000]",Title,Values
"['curve', 'day', 'rear', 'wind', 'crime', 'group', 'stuff']","[6, 3, 1, 7, 2, 9, 9]",Title,Values
"['number', 'camera', 'face']","[4, 3, 5]",Most preferred objects,Number of People
"['relief', 'turn', 'artery', 'movie']","[60, 40, 70, 10]",Most preferred objects,Percent of People
"['cloth', 'chance']","[8, 5]",Accuracy of different algorithms,Accuracy
"['regime', 'suite']","[7, 5]",Sales statistics for different items,Units sold
"['term', 'radio', 'cereal']","[9, 8, 1]",Title,Values
"['talk', 'move', 'weapon', 'anger', 'king', 'range']","[3, 7, 8, 3, 7, 4]",Most preferred objects,Number of People
"['beat', 'value', 'summer', 'threat', 'bottle', 'pitch']","[3, 9, 7, 2, 8, 6]",Sales statistics for different items,Units sold
"['lie', 'pound', 'source', 'ideal', 'cost', 'rice', 'rush']","[100000000, 100000, 1000000000, 10, 10000000, 10000000, 10000]",Title,Values
"['shell', 'dawn', 'guest', 'seed', 'sleep', 'height']","[9, 1, 7, 4, 5, 3]",Title,Values
"['folk', 'shock', 'sister', 'height', 'sand', 'patent', 'doctor']","[5, 8, 5, 3, 8, 6, 1]",Accuracy of different algorithms,Accuracy
"['wheel', 'date', 'form']","[8, 2, 4]",Most preferred objects,Number of People
"['root', 'estate', 'law']","[5, 3, 1]",Sales statistics for different items,Units sold
"['victim', 'corner', 'inside', 'corps']","[8, 3, 8, 8]",Sales statistics for different items,Units sold
"['tail', 'mess', 'ease', 'dealer', 'target', 'heard', 'tax']","[1, 6, 3, 1, 2, 4, 8]",Sales statistics for different items,Units sold
"['unity', 'wine']","[30, 60]",Accuracy of different algorithms,Accuracy
"['cent', 'lack', 'bridge', 'train']","[9, 2, 8, 5]",Accuracy of different algorithms,Accuracy
"['fool', 'barrel', 'father']","[1, 6, 3]",Accuracy of different algorithms,Accuracy
"['suit', 'tire', 'dog']","[2, 4, 7]",Sales statistics for different items,Units sold
"['reader', 'cent', 'earth', 'work']","[10, 90, 40, 60]",Most preferred objects,Percent of People
"['editor', 'speed', 'demand', 'sheet']","[6, 4, 8, 7]",Accuracy of different algorithms,Accuracy
"['cloud', 'terror', 'view', 'gown', 'face']","[80, 60, 50, 40, 50]",Accuracy of different algorithms,Accuracy
"['world', 'dust']","[70, 30]",Accuracy of different algorithms,Accuracy
"['soap', 'bit', 'fan']","[7, 4, 9]",Most preferred objects,Number of People
"['ride', 'second', 'member', 'comedy', 'wife']","[70, 40, 20, 60, 70]",Most preferred objects,Percent of People
"['male', 'dog', 'blue', 'estate', 'stake', 'food']","[20, 40, 40, 30, 60, 80]",Title,Values
"['talk', 'winter', 'travel', 'barn', 'rice']","[40, 80, 10, 80, 60]",Most preferred objects,Percent of People
"['fish', 'iron', 'temple']","[80, 70, 30]",Accuracy of different algorithms,Accuracy
"['wall', 'buffer']","[3, 8]",Sales statistics for different items,Units sold
"['fist', 'sand']","[1, 4]",Most preferred objects,Number of People
"['coffee', 'memory', 'hold']","[60, 30, 60]",Accuracy of different algorithms,Accuracy
"['son', 'worth', 'sleep', 'press', 'bit', 'entry', 'basket']","[30, 40, 10, 20, 90, 30, 10]",Accuracy of different algorithms,Accuracy
"['table', 'policy', 'cloud']","[1, 7, 8]",Title,Values
"['crew', 'clerk', 'figure', 'water']","[7, 8, 7, 5]",Title,Values
"['stuff', 'grace']","[3, 2]",Accuracy of different algorithms,Accuracy
"['motion', 'title', 'client']","[4, 3, 6]",Most preferred objects,Number of People
"['desire', 'site', 'gun', 'storm', 'feel', 'combat']","[9, 9, 5, 6, -7, -5]",Title,Values
"['shore', 'seed', 'comedy']","[2, 3, 1]",Sales statistics for different items,Units sold
"['corner', 'handle', 'press', 'detail', 'driver', 'forth', 'file', 'coast', 'reply']","[4, 2, 3, 3, 8, 2, 5, 6, 9]",Most preferred objects,Number of People
"['gown', 'fury', 'money', 'fight', 'noon', 'path', 'studio']","[7, 9, 6, 4, 3, 1, 9]",Sales statistics for different items,Units sold
"['proof', 'case', 'book']","[8, 3, 5]",Title,Values
"['campus', 'opera', 'coffee']","[30, 90, 40]",Title,Values
"['mud', 'cut', 'seed', 'theory']","[70, 80, 40, 20]",Title,Values
"['rhythm', 'center', 'code', 'forest', 'angle', 'hunger']","[1, 1, 7, 5, 5, 4]",Accuracy of different algorithms,Accuracy
"['danger', 'star']","[1, 3]",Sales statistics for different items,Units sold
"['draft', 'sewage']","[80, 10]",Most preferred objects,Percent of People
"['bride', 'boy', 'church', 'war', 'proof', 'aid', 'focus']","[10, 30, 80, 20, 70, 10, 10]",Accuracy of different algorithms,Accuracy
"['year', 'rage', 'herd']","[3, 1, 9]",Title,Values
"['series', 'sound', 'rest', 'youth', 'sleep', 'notice', 'till', 'leg', 'survey']","[40, 90, 10, 80, 70, 60, 20, 90, 10]",Most preferred objects,Percent of People
"['trend', 'object', 'desire', 'break', 'bread', 'baby', 'sera']","[9, 3, 7, 9, 1, 7, 5]",Sales statistics for different items,Units sold
"['title', 'level', 'charge', 'story', 'height', 'dark', 'woman', 'fuel']","[6, 3, 5, 4, 4, 2, 7, -6]",Title,Values
"['code', 'bare', 'midst']","[6, 0, 0]",Title,Values
"['search', 'blow', 'auto', 'poetry', 'loss', 'cotton']","[9, 6, 7, 5, 2, 4]",Title,Values
"['guitar', 'route', 'breath', 'end']","[10, 50, 70, 70]",Accuracy of different algorithms,Accuracy
"['bird', 'length', 'gyro', 'pass', 'origin', 'cold', 'barrel', 'cloud']","[50, 60, 20, 80, 60, 60, 80, 30]",Accuracy of different algorithms,Accuracy
"['way', 'tire', 'jaw', 'block', 'summer', 'fall']","[7, 4, 4, 3, 6, 5]",Sales statistics for different items,Units sold
"['award', 'car', 'fuel']","[60, 10, 80]",Most preferred objects,Percent of People
"['sauce', 'man', 'beer', 'target', 'star', 'fit']","[10, 40, 40, 50, 60, 90]",Title,Values
"['bottom', 'uncle']","[3, 7]",Most preferred objects,Number of People
"['wave', 'shock']","[2, 0]",Title,Values
"['way', 'inside', 'sheet', 'suit', 'shop']","[9, 4, 8, 2, 4]",Title,Values
"['stop', 'well', 'scale']","[80, 60, 60]",Title,Values
"['seat', 'night', 'crowd', 'rage']","[10000000, 100000, 1000, 100000000]",Title,Values
"['view', 'foot', 'one']","[6, 2, 1]",Most preferred objects,Number of People
"['case', 'road', 'body']","[3, 1, 3]",Sales statistics for different items,Units sold
"['energy', 'beauty', 'fit', 'string', 'foam']","[20, 90, 30, 60, 10]",Accuracy of different algorithms,Accuracy
"['camera', 'brain', 'hen']","[6, 1, 4]",Most preferred objects,Number of People
"['favor', 'shadow', 'step', 'degree', 'impact']","[5, 6, 2, 8, 7]",Title,Values
"['rest', 'lobby', 'faint']","[1000000000, 10, 100000]",Title,Values
"['site', 'liquor', 'income', 'lap', 'drama']","[3, 4, 9, 9, 2]",Most preferred objects,Number of People
"['roll', 'noise', 'wagon', 'fool', 'dealer', 'tube']","[3, 9, 7, 1, 3, 3]",Title,Values
"['player', 'police', 'dining', 'burden', 'comedy', 'symbol']","[1, 9, 1, 3, 4, 4]",Title,Values
"['rear', 'king', 'guilt', 'plot', 'atom', 'rock', 'agency']","[50, 80, 20, 90, 60, 80, 10]",Most preferred objects,Percent of People
"['gas', 'return', 'well', 'sleep', 'radar', 'deal', 'motor']","[9, 2, 5, 8, 7, 1, 7]",Most preferred objects,Number of People
"['dust', 'title', 'phase', 'model', 'fruit', 'birth', 'result', 'sauce']","[9, -5, 8, 3, 1, 7, 6, 5]",Title,Values
"['luxury', 'making', 'blue', 'screen', 'drink', 'matter']","[30, 60, 70, 10, 80, 20]",Accuracy of different algorithms,Accuracy
"['object', 'cell', 'street']","[1, 2, 4]",Most preferred objects,Number of People
"['world', 'fist', 'meal', 'cloud']","[3, 8, 3, 6]",Accuracy of different algorithms,Accuracy
"['career', 'tent', 'youth', 'steel', 'news', 'friend']","[70, 80, 40, 50, 80, 30]",Accuracy of different algorithms,Accuracy
"['jet', 'victim']","[1, 2]",Sales statistics for different items,Units sold
"['cream', 'hall', 'visit', 'clouds']","[50, 70, 20, 70]",Accuracy of different algorithms,Accuracy
"['beach', 'lie']","[1, 6]",Title,Values
"['text', 'path', 'sum', 'player', 'shore', 'talent', 'grave']","[50, 70, 70, 40, 90, 90, 80]",Most preferred objects,Percent of People
"['guilt', 'side']","[20, 50]",Title,Values
"['sheet', 'blow']","[10, 10]",Title,Values
"['stroke', 'post', 'basis', 'dog', 'symbol', 'patrol', 'artery', 'male']","[30, 90, 40, 80, 50, 40, 90, 80]",Most preferred objects,Percent of People
"['news', 'dawn']","[4, 9]",Sales statistics for different items,Units sold
"['grade', 'radar', 'barn', 'essay', 'wise', 'return']","[7, 6, 6, 5, 6, 5]",Accuracy of different algorithms,Accuracy
"['mirror', 'bare', 'porch', 'claim', 'basket']","[4, 5, 4, 6, 9]",Accuracy of different algorithms,Accuracy
"['trade', 'estate', 'cover', 'tale']","[2, 1, 8, 7]",Most preferred objects,Number of People
"['train', 'dress', 'blood', 'glance', 'tax', 'proof']","[5, 4, 4, 8, 4, 3]",Title,Values
"['error', 'mirror', 'inch', 'anyone', 'player', 'string', 'cellar']","[7, 5, 3, 3, 3, 5, 8]",Sales statistics for different items,Units sold
"['porch', 'letter', 'fee', 'player', 'twelve']","[1, 3, 9, 8, 7]",Accuracy of different algorithms,Accuracy
"['scene', 'artery', 'desk', 'plenty', 'glass', 'roll', 'action', 'mode']","[40, 80, 90, 90, 70, 60, 30, 20]",Most preferred objects,Percent of People
"['sun', 'brand', 'ease']","[60, 70, 60]",Title,Values
"['set', 'plate']","[8, 6]",Sales statistics for different items,Units sold
"['term', 'nature', 'target', 'status', 'west', 'pitch']","[4, 5, 3, 1, 9, 9]",Sales statistics for different items,Units sold
"['bare', 'nature', 'staff', 'music']","[7, 9, 4, 2]",Sales statistics for different items,Units sold
"['art', 'fate', 'rock', 'talent', 'stick']","[4, 5, 5, 2, 8]",Most preferred objects,Number of People
"['slave', 'proof', 'favor', 'road']","[1000000000, 1000000000, 100000000, 10000]",Title,Values
"['talent', 'glory', 'part', 'count', 'moon', 'fact', 'twelve']","[3, 9, 8, 8, 3, 5, 9]",Sales statistics for different items,Units sold
"['gun', 'train', 'driver', 'kind']","[90, 90, 80, 30]",Most preferred objects,Percent of People
"['dozen', 'stand', 'hero', 'goal', 'left', 'light']","[1000, 100000000, 1000000, 100, 1000000000, 100000]",Title,Values
"['summer', 'record', 'sport', 'image', 'fish', 'seat', 'risk']","[-8, 7, -7, 8, 2, 4, 5]",Title,Values
"['artery', 'oxygen']","[10, 30]",Title,Values
"['bus', 'iron', 'place', 'valley', 'grip', 'change']","[1, 6, 3, 2, 8, 3]",Title,Values
"['act', 'desk', 'poetry']","[0, 0, 80]",Most preferred objects,Percent of People
"['coast', 'close', 'prize', 'woman', 'studio', 'novel', 'camp']","[8, 3, 7, 5, 1, 8, 8]",Accuracy of different algorithms,Accuracy
"['pause', 'era', 'head', 'mouth']","[10, 30, 20, 30]",Most preferred objects,Percent of People
"['body', 'grace']","[6, 7]",Title,Values
"['corps', 'danger', 'focus', 'heard', 'nation', 'wait', 'shame', 'symbol']","[9, 1, 6, 6, 4, 1, 6, 2]",Most preferred objects,Number of People
"['brain', 'love', 'title', 'top', 'cause', 'show', 'sewage', 'maid', 'phase']","[90, 50, 80, 10, 60, 60, 10, 90, 40]",Accuracy of different algorithms,Accuracy
"['gas', 'trade', 'metal', 'nose', 'grade', 'dirt']","[20, 40, 90, 30, 60, 50]",Title,Values
"['fly', 'desire', 'club', 'hall', 'bulk']","[80, 80, 70, 60, 20]",Title,Values
"['snake', 'face', 'text', 'turn']","[9, 8, 4, 6]",Most preferred objects,Number of People
"['soil', 'cloud', 'cat', 'knife', 'band', 'summer']","[9, 7, 3, 1, 1, 5]",Title,Values
"['type', 'dinner']","[70, 60]",Most preferred objects,Percent of People
"['ranch', 'thing', 'ball', 'panic', 'foot']","[6, 8, 1, 2, 2]",Title,Values
"['future', 'corps']","[5, 3]",Title,Values
"['cover', 'vice', 'loss']","[60, 90, 80]",Most preferred objects,Percent of People
"['ice', 'block', 'prison', 'game']","[5, 6, 1, 8]",Most preferred objects,Number of People
"['poetry', 'growth', 'page', 'wall']","[10, 60, 90, 70]",Most preferred objects,Percent of People
