labels,values,title,value_heading,code
"['loss', 'sex', 'nation', 'grade', 'herd', 'cup']","[6, 5, 2, 8, 7, 2]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['loss', 'sex', 'nation', 'grade', 'herd', 'cup']
values = [6, 5, 2, 8, 7, 2]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#4b3bea')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['flow', 'chance', 'mode', 'sign', 'law', 'paint', 'access', 'dollar']","[4, 8, 5, 8, 1, 6, 9, 5]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['flow', 'chance', 'mode', 'sign', 'law', 'paint', 'access', 'dollar']
values = [4, 8, 5, 8, 1, 6, 9, 5]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#f7b880')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Values', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['pay', 'injury']","[50, 40]",Most preferred objects,Percent of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['pay', 'injury']
values = [50, 40]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#6c9d9a')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Percent of People', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['coffee', 'horror', 'term', 'limit']","[1, 4, 5, 7]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['coffee', 'horror', 'term', 'limit']
values = [1, 4, 5, 7]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#8e75cd')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['nature', 'melody', 'pot', 'cereal']","[60, 10, 80, 90]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['nature', 'melody', 'pot', 'cereal']
values = [60, 10, 80, 90]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#ad4770')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Values', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['beach', 'lie']","[1, 6]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['beach', 'lie']
values = [1, 6]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#72f0ef')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Values', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['fish', 'widow', 'agency']","[2, 8, 4]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['fish', 'widow', 'agency']
values = [2, 8, 4]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#2522b5')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['ten', 'gun', 'share']","[40, 50, 50]",Most preferred objects,Percent of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['ten', 'gun', 'share']
values = [40, 50, 50]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#086869')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Percent of People', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['bone', 'fan', 'twenty', 'share', 'weight', 'salt']","[80, 70, 30, 60, 60, 50]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['bone', 'fan', 'twenty', 'share', 'weight', 'salt']
values = [80, 70, 30, 60, 60, 50]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#aca6af')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['self', 'angle', 'editor', 'bone']","[4, 1, 6, 7]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['self', 'angle', 'editor', 'bone']
values = [4, 1, 6, 7]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#4b16b5')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['skin', 'town', 'window', 'canvas', 'cap', 'stage', 'fog', 'liquor', 'adult']","[6, 5, 7, 7, 8, 3, 4, 1, 8]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['skin', 'town', 'window', 'canvas', 'cap', 'stage', 'fog', 'liquor', 'adult']
values = [6, 5, 7, 7, 8, 3, 4, 1, 8]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#ceb8a2')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['bag', 'expert']","[60, 60]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['bag', 'expert']
values = [60, 60]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#522d4f')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Values', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['wash', 'book', 'theory']","[1000000, 100000000, 1000]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['wash', 'book', 'theory']
values = [1000000, 100000000, 1000]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#c6a2da')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Values', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['job', 'claim']","[7, 2]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['job', 'claim']
values = [7, 2]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#27ac54')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Values', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['threat', 'aid', 'herd', 'date']","[6, 6, 5, 6]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['threat', 'aid', 'herd', 'date']
values = [6, 6, 5, 6]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#e54e1a')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Values', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['birth', 'valley', 'living', 'bowl', 'bone', 'ear', 'source', 'set']","[50, 80, 30, 50, 80, 90, 40, 60]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['birth', 'valley', 'living', 'bowl', 'bone', 'ear', 'source', 'set']
values = [50, 80, 30, 50, 80, 90, 40, 60]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#6d9af2')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Values', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['dome', 'truck', 'snow', 'fence', 'wood', 'artist']","[5, 7, 8, 7, 7, 9]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['dome', 'truck', 'snow', 'fence', 'wood', 'artist']
values = [5, 7, 8, 7, 7, 9]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#319191')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['valley', 'cellar', 'owner', 'race', 'date', 'rhythm', 'scale', 'bay']","[7, 2, 9, 3, 8, 2, 8, 3]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['valley', 'cellar', 'owner', 'race', 'date', 'rhythm', 'scale', 'bay']
values = [7, 2, 9, 3, 8, 2, 8, 3]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#7635da')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['income', 'warmth', 'study']","[7, 1, 3]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['income', 'warmth', 'study']
values = [7, 1, 3]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#7c22d1')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['scene', 'evil', 'study', 'health', 'sign', 'chair', 'flux', 'growth']","[2, 5, 8, 5, 9, 3, 4, 6]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['scene', 'evil', 'study', 'health', 'sign', 'chair', 'flux', 'growth']
values = [2, 5, 8, 5, 9, 3, 4, 6]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#b44c39')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Values', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['artery', 'rhythm', 'home', 'mass']","[3, 4, 3, 2]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['artery', 'rhythm', 'home', 'mass']
values = [3, 4, 3, 2]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#5b1184')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Values', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['reach', 'plane', 'sand', 'army', 'age', 'help', 'enemy', 'plan']","[2, 8, 4, 1, 4, 4, 5, 8]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['reach', 'plane', 'sand', 'army', 'age', 'help', 'enemy', 'plan']
values = [2, 8, 4, 1, 4, 4, 5, 8]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#c5e962')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['cheek', 'opera', 'walk', 'need', 'supply', 'brain']","[1, 1, 4, 2, 6, 8]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['cheek', 'opera', 'walk', 'need', 'supply', 'brain']
values = [1, 1, 4, 2, 6, 8]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#5f6895')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['writer', 'size', 'tone', 'blue']","[4, 7, 7, 5]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['writer', 'size', 'tone', 'blue']
values = [4, 7, 7, 5]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#ad35c0')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['liquor', 'cut', 'hair', 'model', 'foil']","[90, 30, 60, 50, 20]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['liquor', 'cut', 'hair', 'model', 'foil']
values = [90, 30, 60, 50, 20]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#7d58ab')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Values', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['fact', 'view', 'neck', 'sewage', 'poetry', 'meal']","[10000000, 1000000000, 1000, 1, 1000000000, 1]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['fact', 'view', 'neck', 'sewage', 'poetry', 'meal']
values = [10000000, 1000000000, 1000, 1, 1000000000, 1]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#9e8224')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Values', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['mark', 'amount', 'gift', 'fee', 'bottle']","[7, 1, 5, 3, 7]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['mark', 'amount', 'gift', 'fee', 'bottle']
values = [7, 1, 5, 3, 7]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#a9487b')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['sale', 'leader', 'skirt', 'floor', 'goal', 'pass', 'mercy']","[1000000, 1000, 1000, 10000000, 100, 100000000, 1000000000]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['sale', 'leader', 'skirt', 'floor', 'goal', 'pass', 'mercy']
values = [1000000, 1000, 1000, 10000000, 100, 100000000, 1000000000]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#de4be8')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Values', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['myth', 'sugar', 'data']","[60, 90, 50]",Most preferred objects,Percent of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['myth', 'sugar', 'data']
values = [60, 90, 50]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#8c2584')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Percent of People', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['pride', 'get', 'movie', 'trail']","[70, 80, 20, 80]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['pride', 'get', 'movie', 'trail']
values = [70, 80, 20, 80]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#f5a5da')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['lie', 'defeat', 'vice', 'figure', 'mind', 'editor']","[4, 1, 9, 5, 9, 6]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['lie', 'defeat', 'vice', 'figure', 'mind', 'editor']
values = [4, 1, 9, 5, 9, 6]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#aa304f')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['radar', 'gown', 'game', 'action', 'legs', 'vacuum', 'worker']","[2, 6, 1, 1, 5, 3, 3]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['radar', 'gown', 'game', 'action', 'legs', 'vacuum', 'worker']
values = [2, 6, 1, 1, 5, 3, 3]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#749a45')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['style', 'core', 'song', 'appeal', 'rest']","[5, 8, 5, 9, 3]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['style', 'core', 'song', 'appeal', 'rest']
values = [5, 8, 5, 9, 3]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#75131e')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['paint', 'effort', 'bowl']","[5, 3, 7]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['paint', 'effort', 'bowl']
values = [5, 3, 7]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#60df41')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Values', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['worker', 'trust', 'pure']","[100000000, 100, 1000]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['worker', 'trust', 'pure']
values = [100000000, 100, 1000]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#25b12f')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Values', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['sugar', 'pond', 'ground', 'rate', 'wit', 'pitch']","[4, 4, 8, 3, 6, 5]",Sales statistics for different items,Units sold,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['sugar', 'pond', 'ground', 'rate', 'wit', 'pitch']
values = [4, 4, 8, 3, 6, 5]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#d91309')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Sales statistics for different items', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Units sold', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['beach', 'club', 'neck', 'dinner', 'oxygen', 'extent']","[9, 2, 1, 3, 2, 4]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['beach', 'club', 'neck', 'dinner', 'oxygen', 'extent']
values = [9, 2, 1, 3, 2, 4]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#ccff87')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
"['body', 'beer']","[5, 7]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['body', 'beer']
values = [5, 7]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#1af45b')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Comic Sans MS')  # Add a title to the chart
plt.xlabel('Categories', fontname='Comic Sans MS')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Comic Sans MS')  # Label for the y-axis

# Display the chart
plt.show()
"
"['evil', 'cell', 'news', 'team', 'club', 'supply', 'soap', 'visit', 'motel']","[6, 1, 7, 3, 7, 4, 3, 3, 9]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['evil', 'cell', 'news', 'team', 'club', 'supply', 'soap', 'visit', 'motel']
values = [6, 1, 7, 3, 7, 4, 3, 3, 9]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#f89caa')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Arial')  # Add a title to the chart
plt.xlabel('Categories', fontname='Arial')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Arial')  # Label for the y-axis

# Display the chart
plt.show()
"
"['excess', 'decade', 'volume', 'artist', 'harm', 'minute', 'appeal']","[5, 1, 8, 4, 1, 6, 6]",Most preferred objects,Number of People,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['excess', 'decade', 'volume', 'artist', 'harm', 'minute', 'appeal']
values = [5, 1, 8, 4, 1, 6, 6]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#ac327f')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Most preferred objects', fontname='Courier New')  # Add a title to the chart
plt.xlabel('Categories', fontname='Courier New')  # Label for the x-axis
plt.ylabel('Number of People', fontname='Courier New')  # Label for the y-axis

# Display the chart
plt.show()
"
"['scope', 'inch', 'wait', 'judge', 'parade', 'value']","[80, 10, 20, 20, 70, 40]",Accuracy of different algorithms,Accuracy,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['scope', 'inch', 'wait', 'judge', 'parade', 'value']
values = [80, 10, 20, 20, 70, 40]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#1ad023')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Accuracy of different algorithms', fontname='Verdana')  # Add a title to the chart
plt.xlabel('Categories', fontname='Verdana')  # Label for the x-axis
plt.ylabel('Accuracy', fontname='Verdana')  # Label for the y-axis

# Display the chart
plt.show()
"
"['end', 'chance', 'status', 'aspect', 'pause', 'depth']","[1, 3, 5, -9, 3, -3]",Title,Values,"
import matplotlib.pyplot as plt

# Categories and their corresponding values
categories = ['end', 'chance', 'status', 'aspect', 'pause', 'depth']
values = [1, 3, 5, -9, 3, -3]

# Creating the scatter plot
plt.figure(figsize=(8, 5))  # Set the figure size (optional)
plt.scatter(categories, values, color='#93246e')  # Plot the scatter points with a random color

# Adding title and labels
plt.title('Title', fontname='Times New Roman')  # Add a title to the chart
plt.xlabel('Categories', fontname='Times New Roman')  # Label for the x-axis
plt.ylabel('Values', fontname='Times New Roman')  # Label for the y-axis

# Display the chart
plt.show()
"
